network_id,n_controls,total_Q,method,converged,stop_reason,iters_to_converge,runtime_to_converge_s,avg_regret_at_converge,total_iters,total_runtime_s,converged_minmax_value,final_opt_gap,v_opt,epsilon,samples,final_ell,final_indices
0,7,26,1,True,regret,15,0.014756,0.00095309,15,0.014756,0.00004630,0.00000000,0.00004630,0.001,,"{""get_credentials"": 0.302422, ""find_LAN_access_port"": 0.02848, ""spoof_MAC_address"": 0.02229, ""find_WLAN"": 0.020426, ""break_WPA_keys"": 0.024972, ""exploit_software_vulnerability"": 0.295616, ""run_malicous_script"": 0.305794}","{""get_credentials"": [4.6e-05, 3.9e-05, 2.9e-05, 1.9e-05, 1.2e-05], ""find_LAN_access_port"": [0.001092, 0.001005, 0.000829], ""spoof_MAC_address"": [0.001551, 0.001508, 0.001439, 0.00132], ""find_WLAN"": [0.001018, 0.000945, 0.000801], ""break_WPA_keys"": [0.001376, 0.001246, 0.001027, 0.000764], ""exploit_software_vulnerability"": [0.001968, 0.00169, 0.001327, 0.000874], ""run_malicous_script"": [0.039766, 0.032898, 0.022647]}"
0,7,26,2,True,regret,40,0.048470,0.00098817,40,0.048470,0.00005022,0.00000392,0.00004630,0.001,1,"{""get_credentials"": 0.298697, ""find_LAN_access_port"": 0.033738, ""spoof_MAC_address"": 0.030985, ""find_WLAN"": 0.005099, ""break_WPA_keys"": 0.033055, ""exploit_software_vulnerability"": 0.298867, ""run_malicous_script"": 0.299559}","{""get_credentials"": [5e-05, 4.2e-05, 3.2e-05, 2.1e-05, 1.3e-05], ""find_LAN_access_port"": [0.000964, 0.000877, 0.000707], ""spoof_MAC_address"": [0.001458, 0.001405, 0.001321, 0.001184], ""find_WLAN"": [0.001167, 0.001136, 0.001076], ""break_WPA_keys"": [0.001272, 0.001127, 0.000896, 0.000638], ""exploit_software_vulnerability"": [0.002028, 0.001741, 0.001367, 0.0009], ""run_malicous_script"": [0.042345, 0.035048, 0.024143]}"
1,8,29,1,True,regret,605,0.637173,0.00099946,605,0.637173,0.00004944,0.00000000,0.00004944,0.001,,"{""BribeProgrammer"": 0.000971, ""ProgrammerObtainsTheCode"": 0.000767, ""HireRobberA"": 0.007857, ""BugInComputerSystem"": 0.001561, ""ExploitBug"": 0.002544, ""HireRobberB"": 0.000759, ""RobberBreaksIntoSystem"": 0.001202, ""UseCodeInProduct"": 0.98434}","{""BribeProgrammer"": [4.9e-05, 4.9e-05, 4.9e-05, 4.9e-05], ""ProgrammerObtainsTheCode"": [5e-05, 5e-05, 5e-05, 5e-05], ""HireRobberA"": [4.4e-05, 4.3e-05, 4.1e-05], ""BugInComputerSystem"": [4.8e-05, 4.8e-05, 4.8e-05, 4.7e-05], ""ExploitBug"": [4.9e-05, 4.9e-05, 4.8e-05], ""HireRobberB"": [4.9e-05, 4.9e-05, 4.9e-05], ""RobberBreaksIntoSystem"": [5e-05, 4.9e-05, 4.9e-05], ""UseCodeInProduct"": [5e-05, 4.7e-05, 4.2e-05, 3.4e-05, 2.2e-05]}"
1,8,29,2,True,regret,447,0.345014,0.00099955,447,0.345014,0.00005323,0.00000379,0.00004944,0.001,1,"{""BribeProgrammer"": 0.00111, ""ProgrammerObtainsTheCode"": 0.00111, ""HireRobberA"": 0.00028, ""BugInComputerSystem"": 0.00028, ""ExploitBug"": 0.00028, ""HireRobberB"": 0.009603, ""RobberBreaksIntoSystem"": 0.009484, ""UseCodeInProduct"": 0.977854}","{""BribeProgrammer"": [5.2e-05, 5.2e-05, 5.2e-05, 5.2e-05], ""ProgrammerObtainsTheCode"": [5.3e-05, 5.3e-05, 5.3e-05, 5.3e-05], ""HireRobberA"": [5.3e-05, 5.3e-05, 5.3e-05], ""BugInComputerSystem"": [5.3e-05, 5.3e-05, 5.3e-05, 5.3e-05], ""ExploitBug"": [5.4e-05, 5.4e-05, 5.4e-05], ""HireRobberB"": [4.2e-05, 4.1e-05, 3.9e-05], ""RobberBreaksIntoSystem"": [4.8e-05, 4.6e-05, 4.2e-05], ""UseCodeInProduct"": [5.4e-05, 5e-05, 4.5e-05, 3.6e-05, 2.4e-05]}"
2,11,43,1,True,plateau,241000,622.396030,0.00222426,241000,622.396030,0.28319916,0.00000000,0.28319916,0.001,,"{""BreakIntoComputerCentre"": 0.101141, ""Unattended Guest"": 0.117166, ""CorruptSysAdmin"": 0.121771, ""ObtainPasswordFileA"": 0.098035, ""EncounterGuessablePasswordA"": 0.00886, ""LookOverSysAdminShoulderA"": 0.114003, ""TrojanHorseSAAccountA"": 0.109071, ""ObtainPasswordFileB"": 0.098034, ""EncounterGuessablePasswordB"": 0.008856, ""LookOverSysAdminShoulderB"": 0.114001, ""TrojanHorseSAAccountB"": 0.109062}","{""BreakIntoComputerCentre"": [0.282847, 0.232509, 0.170658], ""Unattended Guest"": [0.2832, 0.256894, 0.21499], ""CorruptSysAdmin"": [0.283179, 0.263202, 0.234768], ""ObtainPasswordFileA"": [0.281237, 0.239876, 0.192653, 0.138229], ""EncounterGuessablePasswordA"": [0.907597, 0.89736, 0.880091, 0.848775, 0.799745], ""LookOverSysAdminShoulderA"": [0.283129, 0.250278, 0.205466, 0.151585], ""TrojanHorseSAAccountA"": [0.28298, 0.244612, 0.195409, 0.135585], ""ObtainPasswordFileB"": [0.281257, 0.239893, 0.192667, 0.138239], ""EncounterGuessablePasswordB"": [0.907641, 0.897409, 0.880147, 0.848843, 0.799829], ""LookOverSysAdminShoulderB"": [0.283133, 0.250281, 0.205469, 0.151587], ""TrojanHorseSAAccountB"": [0.283008, 0.244638, 0.195431, 0.135602]}"
2,11,43,2,True,plateau,250000,188.716970,0.00237709,250000,188.716970,0.28324910,0.00004995,0.28319916,0.001,1,"{""BreakIntoComputerCentre"": 0.101127, ""Unattended Guest"": 0.117174, ""CorruptSysAdmin"": 0.121747, ""ObtainPasswordFileA"": 0.098135, ""EncounterGuessablePasswordA"": 0.0088, ""LookOverSysAdminShoulderA"": 0.113999, ""TrojanHorseSAAccountA"": 0.109046, ""ObtainPasswordFileB"": 0.098501, ""EncounterGuessablePasswordB"": 0.008427, ""LookOverSysAdminShoulderB"": 0.113996, ""TrojanHorseSAAccountB"": 0.109048}","{""BreakIntoComputerCentre"": [0.282891, 0.232548, 0.170689], ""Unattended Guest"": [0.283176, 0.256872, 0.21497], ""CorruptSysAdmin"": [0.28325, 0.263271, 0.234831], ""ObtainPasswordFileA"": [0.281116, 0.239754, 0.192539, 0.138134], ""EncounterGuessablePasswordA"": [0.908199, 0.898021, 0.880848, 0.849696, 0.800895], ""LookOverSysAdminShoulderA"": [0.283139, 0.250287, 0.205474, 0.151591], ""TrojanHorseSAAccountA"": [0.283055, 0.244682, 0.195468, 0.135629], ""ObtainPasswordFileB"": [0.28113, 0.239702, 0.192439, 0.138013], ""EncounterGuessablePasswordB"": [0.911893, 0.902081, 0.885505, 0.855371, 0.807995], ""LookOverSysAdminShoulderB"": [0.283149, 0.250297, 0.205482, 0.151598], ""TrojanHorseSAAccountB"": [0.283049, 0.244676, 0.195463, 0.135626]}"
3,11,11,1,True,regret,1,0.000717,0.00014703,1,0.000717,0.00001927,0.00000000,0.00001927,0.001,,"{""Impersonation"": 0.090909, ""User_login"": 0.090909, ""Password_attack"": 0.090909, ""Unauthorized_login"": 0.090909, ""Packet_spoofing"": 0.090909, ""Sync_flood"": 0.090909, ""SQL_injection"": 0.090909, ""Insert_malicious_scripts"": 0.090909, ""Capture_packets"": 0.090909, ""Analyze_packets"": 0.090909, ""Modify_sensitive_data"": 0.090909}","{""Impersonation"": [0.0], ""User_login"": [2.3e-05], ""Password_attack"": [2.2e-05], ""Unauthorized_login"": [2.2e-05], ""Packet_spoofing"": [0.004567], ""Sync_flood"": [0.004567], ""SQL_injection"": [5e-06], ""Insert_malicious_scripts"": [0.005369], ""Capture_packets"": [0.0], ""Analyze_packets"": [3e-06], ""Modify_sensitive_data"": [0.001779]}"
3,11,11,2,True,regret,1,0.000294,0.00000000,1,0.000294,0.00001927,0.00000000,0.00001927,0.001,1,"{""Impersonation"": 0.090909, ""User_login"": 0.090909, ""Password_attack"": 0.090909, ""Unauthorized_login"": 0.090909, ""Packet_spoofing"": 0.090909, ""Sync_flood"": 0.090909, ""SQL_injection"": 0.090909, ""Insert_malicious_scripts"": 0.090909, ""Capture_packets"": 0.090909, ""Analyze_packets"": 0.090909, ""Modify_sensitive_data"": 0.090909}","{""Impersonation"": [0.0], ""User_login"": [2.3e-05], ""Password_attack"": [2.2e-05], ""Unauthorized_login"": [2.2e-05], ""Packet_spoofing"": [0.004567], ""Sync_flood"": [0.004567], ""SQL_injection"": [5e-06], ""Insert_malicious_scripts"": [0.005369], ""Capture_packets"": [0.0], ""Analyze_packets"": [3e-06], ""Modify_sensitive_data"": [0.001779]}"
4,12,37,1,True,regret,231899,682.815690,0.00099992,231899,682.815690,0.06197919,0.00000000,0.06197919,0.001,,"{""Guessing"": 0.176521, ""Dictionary"": 0.255042, ""Bruteforce"": 0.113757, ""GenericReconnaissanceA"": 0.210184, ""EmailTrapExecution"": 0.010861, ""PhoneTrapExecution"": 0.009282, ""GenericReconnaissanceB"": 0.001056, ""PayloadCrafting"": 0.004088, ""EmailFileExecution"": 0.004856, ""PhysicalReconnaissance"": 0.002328, ""KeyloggerLocalInstallation"": 0.005771, ""PasswordIntercept"": 0.206254}","{""Guessing"": [0.061982, 0.035837, 0.018245, 0.008192], ""Dictionary"": [0.061941, 0.049869, 0.039048], ""Bruteforce"": [0.061969, 0.036377, 0.018526, 0.009349, 0.004697], ""GenericReconnaissanceA"": [0.061547, 0.054788, 0.045327], ""EmailTrapExecution"": [0.716539, 0.597071, 0.41084], ""PhoneTrapExecution"": [0.719919, 0.572029], ""GenericReconnaissanceB"": [0.060823, 0.060652, 0.060361], ""PayloadCrafting"": [0.062192, 0.060479, 0.057258], ""EmailFileExecution"": [0.067979, 0.065706, 0.060795], ""PhysicalReconnaissance"": [0.061112, 0.060248, 0.058584], ""KeyloggerLocalInstallation"": [0.065229, 0.06129, 0.054933], ""PasswordIntercept"": [0.074165, 0.052443]}"
4,12,37,2,False,max_iters,,,0.00108836,500000,447.634934,0.06213350,0.00015431,0.06197919,0.001,1,"{""Guessing"": 0.176546, ""Dictionary"": 0.254733, ""Bruteforce"": 0.114188, ""GenericReconnaissanceA"": 0.209793, ""EmailTrapExecution"": 0.011, ""PhoneTrapExecution"": 0.009232, ""GenericReconnaissanceB"": 0.001304, ""PayloadCrafting"": 0.004946, ""EmailFileExecution"": 0.004651, ""PhysicalReconnaissance"": 0.003031, ""KeyloggerLocalInstallation"": 0.005916, ""PasswordIntercept"": 0.204659}","{""Guessing"": [0.061965, 0.035826, 0.01824, 0.00819], ""Dictionary"": [0.062137, 0.050029, 0.039174], ""Bruteforce"": [0.061602, 0.036156, 0.018411, 0.009291, 0.004667], ""GenericReconnaissanceA"": [0.061753, 0.054975, 0.045485], ""EmailTrapExecution"": [0.713792, 0.593823, 0.40758], ""PhoneTrapExecution"": [0.72105, 0.573403], ""GenericReconnaissanceB"": [0.060853, 0.060646, 0.060299], ""PayloadCrafting"": [0.062431, 0.060485, 0.056681], ""EmailFileExecution"": [0.069384, 0.067151, 0.062307], ""PhysicalReconnaissance"": [0.061037, 0.059932, 0.057827], ""KeyloggerLocalInstallation"": [0.066129, 0.062048, 0.055485], ""PasswordIntercept"": [0.07543, 0.05336]}"
